timestamp,fps,frame_time_ms,hailo_score,hailo_valid,mediapipe_landmarks,command,tcp_sent,tcp_reconnected,cx,cy
1763911881.8709443,24.20312067214477,41.316986083984375,0.0,0,21,Move Left,0,0,88,188
1763911881.9210286,23.396705509597307,42.74106025695801,0.0,0,21,Move Left,0,0,88,188
1763911881.9670131,26.985510976143296,37.056922912597656,0.0,0,21,Move Left,0,0,88,187
1763911882.0186477,25.131695157975468,39.79039192199707,0.0,0,21,Move Left,0,0,90,187
1763911882.0702808,24.681087442626808,40.51685333251953,0.0,0,21,Move Left,0,0,91,186
1763911882.1217942,22.5283410051617,44.388532638549805,0.0,0,21,Move Left,0,0,91,186
1763911882.1700962,24.773364361780672,40.36593437194824,0.0,0,21,Move Left,0,0,91,185
1763911882.221853,23.732163974311824,42.13690757751465,0.0,0,21,Move Left,0,0,91,184
1763911882.2673965,27.195124165207808,36.771297454833984,0.0,0,21,Move Left,0,0,91,184
1763911882.3212357,21.405516854219297,46.716928482055664,0.0,0,21,Move Left,0,0,92,184
1763911882.3716729,23.392921281888253,42.74797439575195,0.0,0,21,Move Left,0,0,95,180
1763911882.4196286,24.43407239977164,40.926456451416016,0.0,0,21,Move Left,0,0,96,180
1763911882.464754,27.06142252503355,36.952972412109375,0.0,0,21,Move Left,0,0,96,179
1763911882.5156991,23.54392976626176,42.473793029785156,0.0,0,21,Move Left,0,0,96,179
1763911882.5724123,22.35984262882366,44.7230339050293,0.0,0,21,Move Left,0,0,96,179
1763911882.6243646,21.886598691282522,45.690059661865234,0.0,0,21,Move Left,0,0,97,178
1763911882.6730835,24.643239463927944,40.57908058166504,0.0,0,21,Move Left,0,0,97,178
1763911882.7190964,25.686698879886336,38.930654525756836,0.0,0,21,Move Left,0,0,97,178
1763911882.7668722,26.861596592910434,37.22786903381348,0.0,0,21,Move Left,0,0,97,178
1763911882.8201704,22.30953432089572,44.82388496398926,0.0,0,21,Move Left,0,0,97,178
1763911882.865922,25.606876846809445,39.05200958251953,0.0,0,21,Move Left,0,0,97,178
1763911882.9085388,28.215211161489094,35.44187545776367,0.0,0,21,Move Left,0,0,97,178
1763911882.966141,19.77335363640221,50.573110580444336,0.0,0,21,Move Left,0,0,97,177
1763911883.018296,22.57162230521682,44.30341720581055,0.0,0,21,Move Left,0,0,97,177
1763911883.0667112,25.26521736511436,39.58010673522949,0.0,0,21,Move Left,0,0,97,178
1763911883.121217,23.269370319001386,42.97494888305664,0.0,0,21,Move Left,0,0,97,178
1763911883.1748433,23.825451736223535,41.97192192077637,0.0,0,21,Move Left,0,0,97,178
1763911883.228792,21.91015086296962,45.64094543457031,0.0,0,21,Move Left,0,0,96,177
1763911883.283971,22.969775631020642,43.535470962524414,0.0,0,21,Move Left,0,0,96,177
1763911883.3346684,22.579034350590273,44.28887367248535,0.0,0,21,Move Left,0,0,96,177
1763911883.3863697,26.556648811558965,37.65535354614258,0.0,0,21,Move Left,0,0,96,178
1763911883.4411685,22.090747733940074,45.26782035827637,0.0,0,21,Move Left,0,0,96,179
1763911883.4997685,19.786692833150923,50.53901672363281,0.0,0,21,Move Left,0,0,96,179
